title,year
A Trip to Mars,1918
Destination Moon,1950
Rocketship X-M,1950
The Day the Earth Stood Still,1951
When Worlds Collide,1951
Flight to Mars,1951
The Man from Planet X,1951
Cat-Women of the Moon,1953
The Quatermass Xperiment,1955
This Island Earth,1955
Conquest of Space,1955
Forbidden Planet,1956
Earth vs. the Flying Saucers,1956
Fire Maidens of Outer Space,1956
The Mysterians,1957
Doroga k zvezdam,1957
Night of the Blood Beast,1958
It! The Terror from Beyond Space,1958
Queen of Outer Space,1958
Battle in Outer Space,1959
First Spaceship on Venus,1960
Assignment: Outer Space,1960
The Phantom Planet,1961
Moon Pilot,1962
Gorath,1962
The Man from the First Century,1962
The Crawling Hand,1963
Robinson Crusoe on Mars,1964
Santa Claus Conquers the Martians,1964
Mutiny in Outer Space,1964
Dr. Who and the Daleks,1965
Planet of the Vampires,1965
Invasion of Astro-Monster,1965
Monster a Go-Go,1965
Blood Beast from Outer Space,1965
Fantastic Voyage,1966
Daleks' Invasion Earth 2150 A.D.,1966
Way... Way Out,1966
Invasion,1966
Operazione Goldman,1966
Ypotron - Final Countdown,1966
The Reluctant Astronaut,1967
Countdown,1967
Mission Stardust,1967
Body of the Prey,1967
Chand Par Chadayee,1967
Herrliche Zeiten im Spessart,1967
2001: A Space Odyssey,1968
Planet of the Apes,1968
Barbarella,1968
Mission Mars,1968
Journey to the Far Side of the Sun,1969
Marooned,1969
The Illustrated Man,1969
Moon Zero Two,1969
A Primer for '2001: A Space Odyssey',1970
Der große Verhau,1971
Solaris,1972
Silent Running,1972
The Six Million Dollar Man,1973
The Stranger,1973
Dark Star,1974
Star Wars: Episode IV - A New Hope,1977
The Incredible Melting Man,1977
The War in Space,1977
Space Battleship Yamato,1977
Starcrash,1978
Battlestar Galactica,1978
The Star Wars Holiday Special,1978
Battle of the Stars,1978
Space Force,1978
Farewell to Space Battleship Yamato: Warriors of Love,1978
Alien,1979
Moonraker,1979
The Black Hole,1979
Star Trek: The Motion Picture,1979
Galaxy Express 999,1979
Meteor,1979
Buck Rogers in the 25th Century,1979
Unidentified Flying Oddball,1979
Star Odyssey,1979
Space Battleship Yamato: The New Voyage,1979
Star Wars: Episode V - The Empire Strikes Back,1980
Flash Gordon,1980
Battle Beyond the Stars,1980
Saturn 3,1980
Contamination,1980
Hangar 18,1980
Simon,1980
Terra e...,1980
Be Forever Yamato,1980
Galaxy of Terror,1981
Mobile Suit Gundam I,1981
Mobile Suit Gundam II: Soldiers of Sorrow,1981
Visitors from the Arkana Galaxy,1981
Time Warp,1981
Adieu Galaxy Express 999,1981
E.T. the Extra-Terrestrial,1982
Star Trek II: The Wrath of Khan,1982
The Time Masters,1982
Forbidden World,1982
Mobile Suit Gundam III: Encounters in Space,1982
The Aftermath,1982
Space Adventure Cobra,1982
Arcadia of My Youth,1982
The Ideon: Be Invoked,1982
Queen Millennia,1982
Illegal Alien,1982
The Ideon: A Contact,1982
Star Wars: Episode VI - Return of the Jedi,1983
Spacehunter: Adventures in the Forbidden Zone,1983
Space Raiders,1983
Final Yamato,1983
Protectors of Universe,1983
Dune,1984
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
The Last Starfighter,1984
Starman,1984
2010: The Year We Make Contact,1984
Star Trek III: The Search for Spock,1984
The Ice Pirates,1984
Macross: Do You Remember Love?,1984
Lensman,1984
The Noah's Ark Principle,1984
The Next One,1984
Explorers,1985
Doraemon: Nobita's Little Star Wars,1985
Megazone 23,1985
Northstar,1985
Codename: Robotech,1985
Aliens,1986
Flight of the Navigator,1986
SpaceCamp,1986
Star Trek IV: The Voyage Home,1986
The Transformers: The Movie,1986
Megazone 23 Part II: Please Give Me Your Secret,1986
Gall Force: Eternal Story,1986
Spaceballs,1987
Royal Space Force: The Wings of Honneamise,1987
The Super Dimension Fortress Macross: Flash Back 2012,1987
Survivor,1987
Gall Force: Destruction,1987
On the Silver Globe,1988
Killer Klowns from Outer Space,1988
Mac and Me,1988
Garfield: His 9 Lives,1988
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,1988
Gall Force: Stardust War,1988
Star Trek V: The Final Frontier,1989
Moontrap,1989
Beyond the Stars,1989
Rhea Gall Force,1989
Total Recall,1990
Jetsons: The Movie,1990
Star Trek VI: The Undiscovered Country,1991
Alien³,1992
Legend of the Galactic Heroes Gaiden: Golden Wings,1992
Legend of the Galactic Heroes: Overture to a New War,1993
Dark Dreams,1993
Stargate,1994
Star Trek: Generations,1994
Godzilla vs. SpaceGodzilla,1994
Memories,1995
Magnetic Rose,1995
Macross Plus Movie Edition,1995
Frankenstein's Planet of Monsters!,1995
Chetvyortaya planeta,1995
Independence Day,1996
Mars Attacks!,1996
Space Jam,1996
Doctor Who: The Movie,1996
Mystery Science Theater 3000: The Movie,1996
Dark Breed,1996
The Fifth Element,1997
Starship Troopers,1997
Contact,1997
Alien: Resurrection,1997
Event Horizon,1997
Discovery Mars,1997
Armageddon,1998
Deep Impact,1998
Star Trek: Insurrection,1998
Lost in Space,1998
Species II,1998
The Brave Little Toaster Goes to Mars,1998
Martian Successor Nadesico - The Motion Picture: Prince of Darkness,1998
Galaxy Express 999: Eternal Fantasy,1998
Star Wars: Episode I - The Phantom Menace,1999
The Iron Giant,1999
Galaxy Quest,1999
Muppets from Space,1999
The Astronaut's Wife,1999
Heat Vision and Jack,1999
Wing Commander,1999
Comic Relief: Doctor Who - The Curse of Fatal Death,1999
Pleasurecraft,1999
Space Fury,1999
Alien Cargo,1999
Mission to Mars,2000
Titan A.E.,2000
Spiders,2000
Buzz Lightyear of Star Command: The Adventure Begins,2000
Maetel Legend,2000
Jason X,2001
Cowboy Bebop: The Movie,2001
Jimmy Neutron: Boy Genius,2001
Stranded,2001
Mutant Aliens,2001
Absolute Zero,2001
Lilo & Stitch,2002
Star Wars: Episode II - Attack of the Clones,2002
Treasure Planet,2002
Solaris,2002
The Adventures of Pluto Nash,2002
Thunderpants,2002
Play-Mate of the Apes,2002
Star Wars: Episode II - Attack of the Clones: Deleted Scenes,2002
Astronauts,2002
An Enraged New World,2002
The Low Budget Time Machine,2003
Threshold,2003
Alien vs. Predator,2004
The Chronicles of Riddick,2004
Dracula 3000,2004
Adiós querida luna,2004
Star Wars: Episode III - Revenge of the Sith,2005
Serenity,2005
Lilo & Stitch 2: Stitch Has a Glitch,2005
The Hitchhiker's Guide to the Galaxy,2005
Zathura: A Space Adventure,2005
The Wild Blue Yonder,2005
The Quatermass Experiment,2005
Tom and Jerry Blast Off to Mars!,2005
The Astronaut Farmer,2006
Gunbuster: The Movie,2006
Robotech: The Shadow Chronicles,2006
Gunbuster vs Diebuster: Aim for the Top! The GATTAI!! Movie,2006
Diebuster: The Movie,2006
Beyond,2006
Sunshine,2007
Aliens vs. Predator: Requiem,2007
Ben 10: Secret of the Omnitrix,2007
Doctor Who: Time Crash,2007
Project Genesis #13,2007
WALL·E,2008
Star Wars: The Clone Wars,2008
Space Chimps,2008
2012: Doomsday,2008
Burn-E,2008
Dead Space: Downfall,2008
Fall of Hyperion,2008
Chile puede,2008
Star Trek,2009
Moon,2009
